DATE,CPI
23/9/2016,107.7
24/9/2016,107.7
25/9/2016,107.7
26/9/2016,107.8
27/9/2016,107.8
28/9/2016,107.8
29/9/2016,107.8
30/9/2016,107.8
1/10/2016,107.8
2/10/2016,107.8
3/10/2016,107.8
4/10/2016,107.8
5/10/2016,107.8
6/10/2016,107.8
7/10/2016,107.8
8/10/2016,107.8
9/10/2016,107.8
10/10/2016,107.8
11/10/2016,107.8
12/10/2016,107.8
13/10/2016,107.9
14/10/2016,107.9
15/10/2016,107.9
16/10/2016,107.9
17/10/2016,107.9
18/10/2016,107.9
19/10/2016,107.9
20/10/2016,107.9
21/10/2016,107.9
22/10/2016,107.9
23/10/2016,107.9
24/10/2016,107.9
25/10/2016,107.9
26/10/2016,107.9
27/10/2016,107.9
28/10/2016,107.9
29/10/2016,107.9
30/10/2016,108
31/10/2016,108
1/11/2016,108
2/11/2016,108
3/11/2016,108
4/11/2016,108
5/11/2016,108
6/11/2016,108
7/11/2016,108
8/11/2016,108
9/11/2016,108
10/11/2016,108
11/11/2016,108
12/11/2016,108
13/11/2016,108
14/11/2016,108
15/11/2016,108
16/11/2016,108.1
17/11/2016,108.1
18/11/2016,108.1
19/11/2016,108.1
20/11/2016,108.1
21/11/2016,108.1
22/11/2016,108.1
23/11/2016,108.1
24/11/2016,108.1
25/11/2016,108.1
26/11/2016,108.1
27/11/2016,108.1
28/11/2016,108.1
29/11/2016,108.1
30/11/2016,108.1
1/12/2016,108.1
2/12/2016,108.1
3/12/2016,108.1
4/12/2016,108.2
5/12/2016,108.2
6/12/2016,108.2
7/12/2016,108.2
8/12/2016,108.2
9/12/2016,108.2
10/12/2016,108.2
11/12/2016,108.2
12/12/2016,108.2
13/12/2016,108.2
14/12/2016,108.2
15/12/2016,108.2
16/12/2016,108.2
17/12/2016,108.2
18/12/2016,108.2
19/12/2016,108.2
20/12/2016,108.2
21/12/2016,108.3
22/12/2016,108.3
23/12/2016,108.3
24/12/2016,108.3
25/12/2016,108.3
26/12/2016,108.3
27/12/2016,108.3
28/12/2016,108.3
29/12/2016,108.3
30/12/2016,108.3
31/12/2016,108.3
1/1/2017,108.3
2/1/2017,108.3
3/1/2017,108.3
4/1/2017,108.3
5/1/2017,108.3
6/1/2017,108.3
7/1/2017,108.4
8/1/2017,108.4
9/1/2017,108.4
10/1/2017,108.4
11/1/2017,108.4
12/1/2017,108.4
13/1/2017,108.4
14/1/2017,108.4
15/1/2017,108.4
16/1/2017,108.4
17/1/2017,108.4
18/1/2017,108.4
19/1/2017,108.4
20/1/2017,108.4
21/1/2017,108.4
22/1/2017,108.4
23/1/2017,108.4
24/1/2017,108.5
25/1/2017,108.5
26/1/2017,108.5
27/1/2017,108.5
28/1/2017,108.5
29/1/2017,108.5
30/1/2017,108.5
31/1/2017,108.5
1/2/2017,108.5
2/2/2017,108.5
3/2/2017,108.5
4/2/2017,108.5
5/2/2017,108.5
6/2/2017,108.5
7/2/2017,108.5
8/2/2017,108.5
9/2/2017,108.5
10/2/2017,108.6
11/2/2017,108.6
12/2/2017,108.6
13/2/2017,108.6
14/2/2017,108.6
15/2/2017,108.6
16/2/2017,108.6
17/2/2017,108.6
18/2/2017,108.6
19/2/2017,108.6
20/2/2017,108.6
21/2/2017,108.6
22/2/2017,108.6
23/2/2017,108.6
24/2/2017,108.6
25/2/2017,108.6
26/2/2017,108.6
27/2/2017,108.6
28/2/2017,108.7
1/3/2017,108.7
2/3/2017,108.7
3/3/2017,108.7
4/3/2017,108.7
5/3/2017,108.7
6/3/2017,108.7
7/3/2017,108.7
8/3/2017,108.7
9/3/2017,108.7
10/3/2017,108.7
11/3/2017,108.7
12/3/2017,108.7
13/3/2017,108.7
14/3/2017,108.7
15/3/2017,108.7
16/3/2017,108.7
17/3/2017,108.8
18/3/2017,108.8
19/3/2017,108.8
20/3/2017,108.8
21/3/2017,108.8
22/3/2017,108.8
23/3/2017,108.8
24/3/2017,108.8
25/3/2017,108.8
26/3/2017,108.8
27/3/2017,108.8
28/3/2017,108.8
29/3/2017,108.8
30/3/2017,108.8
31/3/2017,108.8
1/4/2017,108.8
2/4/2017,108.8
3/4/2017,108.9
4/4/2017,108.9
5/4/2017,108.9
6/4/2017,108.9
7/4/2017,108.9
8/4/2017,108.9
9/4/2017,108.9
10/4/2017,108.9
11/4/2017,108.9
12/4/2017,108.9
13/4/2017,108.9
14/4/2017,108.9
15/4/2017,108.9
16/4/2017,108.9
17/4/2017,108.9
18/4/2017,108.9
19/4/2017,108.9
20/4/2017,109
21/4/2017,109
22/4/2017,109
23/4/2017,109
24/4/2017,109
25/4/2017,109
26/4/2017,109
27/4/2017,109
28/4/2017,109
29/4/2017,109
30/4/2017,109
1/5/2017,109
2/5/2017,109
3/5/2017,109
4/5/2017,109
5/5/2017,109
6/5/2017,109
7/5/2017,109
8/5/2017,109.1
9/5/2017,109.1
10/5/2017,109.1
11/5/2017,109.1
12/5/2017,109.1
13/5/2017,109.1
14/5/2017,109.1
15/5/2017,109.1
16/5/2017,109.1
17/5/2017,109.1
18/5/2017,109.1
19/5/2017,109.1
20/5/2017,109.1
21/5/2017,109.1
22/5/2017,109.1
23/5/2017,109.1
24/5/2017,109.1
